Time (sec),Air Temp (F),Water Supply Temp (F),Water Return Temp (F),Water Flowrate (gpm)
11100.0,75.339,67.88,81.225,4244.308
11160.0,75.372,67.96,80.711,4259.875
11220.0,75.329,68.007,80.875,4244.332
11280.0,75.326,67.831,80.995,4243.75
11340.0,75.38,67.797,80.756,4249.84
11400.0,75.348,68.171,80.916,4243.965
11460.0,75.394,67.888,80.578,4254.933
11520.0,75.37,68.117,80.902,4243.872
11580.0,75.331,68.038,81.075,4258.811
11640.0,75.354,68.095,81.065,4244.889
11700.0,75.401,68.046,81.343,4259.909
11760.0,75.355,67.855,81.53,4254.922
11820.0,75.381,67.923,80.925,4260.827
11880.0,75.394,68.033,81.177,4244.547
11940.0,75.332,67.945,80.666,4245.528
12000.0,75.384,68.095,81.391,4252.11
12060.0,75.374,68.17,80.712,4244.686
12120.0,75.388,68.07,81.045,4249.593
12180.0,75.327,68.084,81.008,4243.867
12240.0,75.344,68.031,81.125,4245.6
12300.0,75.368,67.919,80.653,4258.531
12360.0,75.375,68.129,80.68,4259.541
12420.0,75.354,68.135,81.445,4260.827
12480.0,75.364,67.837,80.604,4245.428
12540.0,75.353,68.067,81.352,4252.201
12600.0,75.34,68.033,81.553,4261.591
12660.0,75.364,68.03,80.769,4248.176
12720.0,75.396,68.025,81.392,4243.772
12780.0,75.36,67.89,81.363,4261.428
12840.0,75.366,68.083,80.715,4244.149
12900.0,75.35,68.01,81.097,4259.562
12960.0,75.346,67.839,80.512,4257.021
13020.0,75.39,68.166,81.552,4243.298
13080.0,75.394,67.917,80.461,4253.385
13140.0,75.327,67.858,80.829,4243.54
13200.0,75.4,67.772,81.283,4244.941
13260.0,75.382,68.074,81.559,4251.601
13320.0,75.366,67.765,80.608,4244.28
13380.0,75.385,68.026,81.068,4243.158
13440.0,75.352,68.046,80.632,4246.665
13500.0,75.383,68.159,80.894,4250.999
13560.0,75.347,68.1,81.102,4247.471
13620.0,75.384,67.919,80.582,4254.428
13680.0,75.391,68.16,80.64,4252.184
13740.0,75.363,67.777,80.957,4246.118
13800.0,75.36,68.106,80.742,4255.407
13860.0,75.397,67.807,80.906,4251.735
13920.0,75.354,67.932,80.916,4242.953
13980.0,75.35,67.924,81.146,4261.101
14040.0,75.332,67.796,81.477,4255.192
14100.0,75.366,68.146,81.24,4242.688
14160.0,75.387,67.852,81.478,4261.515
14220.0,75.371,68.044,80.481,4243.055
14280.0,75.354,68.069,80.917,4249.915
14340.0,75.358,68.095,80.876,4256.046
14400.0,75.329,67.842,80.669,4256.06
14460.0,75.401,67.784,80.711,4258.026
14520.0,75.364,67.997,81.069,4249.734
14580.0,75.352,68.029,80.969,4243.178
14640.0,75.386,68.17,80.665,4245.852
14700.0,75.353,67.938,80.449,4260.777
14760.0,75.357,67.963,80.877,4242.7
14820.0,75.35,67.791,81.019,4252.906
14880.0,75.392,68.015,81.302,4245.521
14940.0,75.345,68.042,81.029,4245.604
15000.0,75.391,67.93,80.638,4248.906
15060.0,75.372,68.118,81.481,4249.548
15120.0,75.349,68.005,81.557,4248.539
15180.0,75.353,67.836,81.419,4253.558
15240.0,75.398,67.856,80.713,4255.133
15300.0,75.365,67.814,81.534,4258.85
15360.0,75.362,67.882,80.708,4245.659
15420.0,75.36,67.925,81.314,4255.196
15480.0,75.335,68.015,80.624,4246.742
15540.0,75.341,68.07,81.24,4257.828
15600.0,75.344,68.114,81.404,4259.721
15660.0,75.374,67.917,80.988,4250.531
15720.0,75.396,68.004,80.702,4260.209
15780.0,75.325,68.197,80.764,4256.599
15840.0,75.394,67.832,80.964,4243.577
15900.0,75.341,68.084,81.1,4246.13
15960.0,75.381,68.121,81.339,4250.397
16020.0,75.372,68.156,80.645,4256.303
16080.0,75.363,67.966,80.841,4250.502
16140.0,75.351,67.872,81.479,4245.932
16200.0,75.369,67.885,80.472,4249.636
16260.0,75.391,67.838,81.006,4255.057
16320.0,75.366,67.786,80.826,4255.302
16380.0,75.386,67.834,81.123,4255.135
16440.0,75.359,68.038,81.573,4261.131
16500.0,75.351,68.196,81.515,4247.401
16560.0,75.382,67.817,81.29,4261.314
16620.0,75.34,67.848,81.28,4261.504
16680.0,75.326,68.162,81.397,4253.059
16740.0,75.333,68.152,80.574,4249.632
16800.0,75.401,68.035,81.539,4241.21
16860.0,75.394,67.816,80.736,4243.373
16920.0,75.361,67.943,81.507,4261.47
16980.0,75.338,67.842,80.833,4249.592
17040.0,75.391,67.824,81.193,4243.861
17100.0,75.325,67.84,81.442,4255.231
17160.0,75.359,68.06,81.003,4245.191
17220.0,75.401,68.186,81.406,4258.862
17280.0,75.363,67.903,81.491,4246.125
17340.0,75.324,67.87,80.988,4260.4
17400.0,75.353,68.197,80.79,4250.597
17460.0,75.381,67.805,80.782,4242.595
17520.0,75.353,68.132,80.954,4251.081
17580.0,75.329,67.976,80.775,4243.847
17640.0,75.388,67.887,80.579,4255.155
17700.0,75.332,68.11,81.305,4250.776
17760.0,75.361,68.154,81.091,4260.243
17820.0,75.391,67.875,80.524,4242.144
17880.0,75.391,67.856,80.703,4248.762
17940.0,75.393,67.897,81.166,4260.636
18000.0,75.386,67.802,80.809,4250.505
18060.0,75.361,68.114,81.331,4250.848
18120.0,75.329,68.002,80.894,4258.798
18180.0,75.397,68.181,80.656,4258.082
18240.0,75.343,67.974,80.719,4241.931
18300.0,75.378,68.022,81.358,4241.825
18360.0,75.402,68.136,80.79,4254.283
18420.0,75.372,67.913,80.96,4247.944
18480.0,75.351,68.051,80.98,4259.507
18540.0,75.395,68.113,81.045,4242.618
18600.0,75.398,68.071,81.545,4260.11
18660.0,75.374,68.182,81.435,4259.422
18720.0,75.35,68.098,81.188,4252.618
18780.0,75.36,68.032,81.365,4245.36
18840.0,75.355,67.975,80.877,4255.56
18900.0,75.352,67.947,81.005,4259.962
18960.0,75.372,67.988,80.702,4243.228
19020.0,75.365,67.788,80.808,4243.183
19080.0,75.393,67.972,80.765,4255.769
19140.0,75.372,67.93,81.429,4255.474
19200.0,75.337,67.837,81.104,4250.85
19260.0,75.34,67.932,81.22,4259.887
19320.0,75.328,67.798,81.496,4258.432
19380.0,75.332,67.899,80.953,4252.862
19440.0,75.368,68.078,80.856,4252.562
19500.0,75.378,67.797,81.435,4244.004
19560.0,75.354,68.172,81.385,4247.317
19620.0,75.377,68.165,80.456,4251.177
19680.0,75.379,67.923,81.013,4247.431
19740.0,75.35,67.935,81.447,4250.511
19800.0,75.381,68.196,81.105,4253.911
19860.0,75.353,68.045,80.462,4257.765
19920.0,75.327,67.992,80.459,4244.877
19980.0,75.375,67.979,81.554,4252.001
20040.0,75.355,68.04,80.564,4250.693
20100.0,75.349,67.959,81.316,4245.061
20160.0,75.325,68.178,80.984,4242.128
20220.0,75.328,68.067,81.147,4255.332
20280.0,75.384,68.15,81.482,4252.761
20340.0,75.395,67.853,80.73,4251.341
20400.0,75.396,68.175,80.731,4254.856
20460.0,75.382,68.116,81.434,4255.511
20520.0,75.341,68.102,80.546,4245.538
20580.0,75.388,67.964,81.43,4248.338
20640.0,75.338,67.925,81.145,4260.319
20700.0,75.377,68.002,80.5,4244.605
20760.0,75.377,68.158,81.267,4248.205
20820.0,75.395,68.096,81.276,4258.419
20880.0,75.387,68.043,81.397,4254.573
20940.0,75.365,67.97,81.485,4244.251
21000.0,75.368,68.17,80.783,4257.441
21060.0,75.401,68.17,80.753,4246.122
21120.0,75.348,67.805,80.504,4260.311
21180.0,75.336,67.9,80.972,4249.943
21240.0,75.371,68.083,81.355,4255.412
21300.0,75.37,68.021,81.338,4256.469
21360.0,75.4,67.835,80.609,4251.256
21420.0,75.372,67.931,80.805,4254.575
21480.0,75.346,68.096,80.907,4252.263
21540.0,75.359,67.871,81.003,4252.04
21600.0,75.326,67.917,80.535,4242.549
21660.0,75.385,67.995,81.095,4253.261
21720.0,75.367,67.778,81.401,4254.057
21780.0,75.379,67.759,80.506,4259.149
21840.0,75.335,67.92,80.923,4253.358
21900.0,75.332,67.86,80.875,4258.426
21960.0,75.339,67.892,81.526,4244.555
22020.0,75.348,67.827,80.847,4252.114
22080.0,75.323,67.769,81.003,4249.481
22140.0,75.365,67.9,81.451,4253.441
22200.0,75.328,67.831,80.728,4260.819
22260.0,75.376,68.119,81.344,4244.44
22320.0,75.348,67.951,81.17,4243.987
22380.0,75.361,67.887,80.818,4248.89
22440.0,75.338,67.793,80.956,4242.138
22500.0,75.395,68.086,80.999,4252.568
22560.0,75.349,68.07,80.867,4250.281
22620.0,75.365,67.809,80.798,4254.004
22680.0,75.356,68.034,80.46,4260.206
22740.0,75.387,67.829,81.384,4252.893
22800.0,75.388,67.954,80.669,4249.82
22860.0,75.345,68.016,80.475,4246.972
22920.0,75.327,68.021,81.183,4260.414
22980.0,75.369,67.99,81.067,4257.751
23040.0,75.324,67.995,81.259,4261.084
23100.0,75.361,67.931,80.565,4249.516
23160.0,75.344,68.143,80.921,4242.079
23220.0,75.331,67.83,81.567,4246.546
23280.0,75.338,67.931,80.807,4241.273
23340.0,75.344,68.148,80.86,4243.78
23400.0,75.343,67.887,81.151,4243.129
23460.0,75.339,67.839,80.948,4261.002
23520.0,75.391,67.985,80.794,4248.071
23580.0,75.392,68.171,81.117,4246.018
23640.0,75.343,68.115,80.778,4244.797
23700.0,75.335,67.936,80.764,4260.697
23760.0,75.343,68.076,81.312,4257.475
23820.0,75.344,67.848,80.492,4248.175
23880.0,75.354,67.847,80.641,4251.932
23940.0,75.355,67.784,80.661,4247.996
24000.0,75.337,68.056,81.49,4258.909
24060.0,75.394,68.042,80.574,4254.238
24120.0,75.401,67.884,81.157,4242.466
24180.0,75.4,68.179,81.129,4243.537
24240.0,75.325,67.939,81.536,4251.139
24300.0,75.358,68.025,80.791,4249.531
24360.0,75.359,67.76,81.32,4247.413
24420.0,75.345,67.939,80.925,4251.907
24480.0,75.387,67.968,80.819,4243.7
24540.0,75.375,67.835,80.625,4253.267
24600.0,75.33,67.889,80.636,4243.79
24660.0,75.343,67.941,80.45,4248.701
24720.0,75.377,68.063,81.01,4242.601
24780.0,75.328,68.09,81.24,4254.952
24840.0,75.346,68.035,80.66,4241.881
24900.0,75.387,68.057,81.34,4254.515
24960.0,75.354,68.167,80.954,4257.335
25020.0,75.381,68.12,81.176,4252.673
25080.0,75.333,67.852,80.56,4257.226
25140.0,75.374,67.823,81.282,4247.521
25200.0,75.398,68.158,81.049,4242.909
25260.0,75.355,68.153,81.112,4249.799
25320.0,75.336,67.993,80.49,4255.233
25380.0,75.393,68.094,80.471,4257.848
25440.0,75.325,68.076,81.511,4261.094
25500.0,75.37,67.807,81.123,4257.156
25560.0,75.324,67.808,81.309,4257.39
25620.0,75.345,67.776,80.647,4260.391
25680.0,75.333,67.94,80.934,4241.769
25740.0,75.352,67.932,81.366,4249.248
25800.0,75.37,68.148,81.268,4259.35
25860.0,75.379,67.762,81.413,4259.043
25920.0,75.356,68.091,80.578,4255.692
25980.0,75.335,68.011,80.915,4247.505
26040.0,75.358,67.858,80.518,4251.028
26100.0,75.385,68.0,81.392,4254.409
26160.0,75.37,67.774,80.655,4258.621
26220.0,75.401,68.189,81.549,4245.387
26280.0,75.34,68.145,80.768,4260.787
26340.0,75.362,68.171,80.488,4257.358
26400.0,75.382,67.85,81.211,4241.558
26460.0,75.396,68.117,80.489,4254.383
26520.0,75.341,68.191,81.365,4252.916
26580.0,75.36,67.996,80.69,4261.602
26640.0,75.357,68.091,80.605,4242.613
26700.0,75.361,68.086,81.183,4253.159
26760.0,75.345,68.125,80.825,4255.341
26820.0,75.387,67.87,80.675,4255.97
26880.0,75.349,68.071,81.547,4241.671
26940.0,75.345,68.19,80.608,4242.423
27000.0,75.341,68.137,80.708,4258.929
27060.0,75.396,68.18,81.17,4259.197
27120.0,75.374,67.827,80.837,4253.843
27180.0,75.34,67.915,81.251,4242.022
27240.0,75.329,67.767,81.438,4248.605
27300.0,75.379,67.875,81.361,4243.307
27360.0,75.369,68.138,81.039,4243.16
27420.0,75.373,67.919,80.932,4247.736
27480.0,75.381,67.936,80.944,4248.307
27540.0,75.391,68.121,81.548,4253.699
27600.0,75.373,68.154,81.162,4257.117
27660.0,75.369,68.08,81.539,4253.79
27720.0,75.368,68.085,81.402,4241.906
27780.0,75.329,67.885,81.322,4261.065
27840.0,75.351,67.819,81.42,4258.018
27900.0,75.353,67.779,80.778,4241.633
27960.0,75.343,67.949,81.0,4251.705
28020.0,75.382,68.069,80.921,4254.854
28080.0,75.399,67.862,81.282,4249.726
28140.0,75.337,68.143,81.01,4244.711
28200.0,75.329,68.163,80.77,4261.161
28260.0,75.355,67.934,80.596,4251.274
28320.0,75.338,68.096,80.732,4249.278
28380.0,75.393,67.966,81.42,4246.033
28440.0,75.325,68.167,80.913,4252.873
28500.0,75.387,67.851,81.18,4248.523
28560.0,75.357,68.019,80.9,4242.182
28620.0,75.347,67.898,81.535,4245.519
28680.0,75.375,67.979,80.897,4259.197
28740.0,75.376,67.986,81.109,4256.438
28800.0,75.402,67.802,81.047,4253.037
28860.0,75.338,67.921,80.747,4248.439
28920.0,75.381,68.087,80.54,4244.541
28980.0,75.357,68.192,81.329,4258.221
29040.0,75.373,68.113,81.24,4244.075
29100.0,75.387,67.886,81.447,4253.571
29160.0,75.351,67.897,81.192,4246.057
29220.0,75.331,67.933,81.291,4241.805
29280.0,75.395,67.941,81.396,4257.377
29340.0,75.365,67.903,80.529,4251.364
29400.0,75.338,68.044,81.336,4248.69
29460.0,75.355,68.051,81.01,4257.786
29520.0,75.385,68.046,80.703,4257.277
29580.0,75.348,68.184,80.792,4245.965
29640.0,75.353,68.071,81.407,4241.622
29700.0,75.343,68.166,81.54,4251.715
29760.0,75.338,68.186,80.997,4258.024
29820.0,75.342,67.973,80.679,4249.676
29880.0,75.386,68.021,80.93,4248.054
29940.0,75.368,68.047,80.801,4246.874
30000.0,75.341,67.761,81.065,4248.732
30060.0,75.376,68.142,81.458,4261.409
30120.0,75.364,68.112,81.38,4241.719
30180.0,75.376,67.934,81.517,4260.543
30240.0,75.373,67.938,80.788,4261.405
30300.0,75.374,68.184,80.985,4244.119
30360.0,75.379,67.899,80.763,4261.488
30420.0,75.365,68.051,81.107,4244.326
30480.0,75.382,68.169,81.552,4250.198
30540.0,75.4,68.177,80.455,4256.193
30600.0,75.341,67.87,80.525,4252.65
30660.0,75.369,67.79,80.704,4241.514
30720.0,75.328,67.997,80.463,4252.708
30780.0,75.366,68.173,81.294,4252.178
30840.0,75.368,68.155,81.241,4257.323
30900.0,75.398,67.911,80.884,4243.064
30960.0,75.393,68.0,80.99,4245.028
31020.0,75.393,67.871,80.739,4252.333
31080.0,75.35,68.146,81.495,4259.513
31140.0,75.359,68.07,80.686,4258.172
31200.0,75.396,67.883,81.264,4256.172
31260.0,75.375,68.053,81.268,4250.746
31320.0,75.351,68.198,80.93,4245.842
31380.0,75.378,67.949,80.929,4256.998
31440.0,75.343,67.952,81.292,4260.313
31500.0,75.4,68.097,81.266,4244.015
31560.0,75.323,68.128,81.391,4259.672
31620.0,75.383,67.947,80.684,4261.534
31680.0,75.386,68.128,80.916,4245.049
31740.0,75.328,67.98,81.324,4251.594
31800.0,75.382,68.155,81.131,4246.153
31860.0,75.382,67.993,80.991,4242.693
31920.0,75.354,67.998,81.02,4242.24
31980.0,75.352,67.824,80.8,4258.839
32040.0,75.333,67.961,81.315,4256.026
32100.0,75.347,67.997,80.54,4258.274
32160.0,75.385,68.117,80.486,4255.532
32220.0,75.398,68.145,80.957,4261.095
32280.0,75.365,67.798,81.362,4244.732
32340.0,75.34,67.808,81.466,4260.142
32400.0,75.323,67.954,81.236,4250.363
32460.0,75.368,67.84,80.534,4255.511
32520.0,75.395,67.996,80.963,4251.482
32580.0,75.366,67.814,81.477,4249.801
32640.0,75.344,67.883,81.1,4258.143
32700.0,75.37,67.934,81.227,4258.075
32760.0,75.323,68.053,81.293,4259.116
32820.0,75.399,68.003,80.876,4261.073
32880.0,75.397,68.156,81.123,4245.816
32940.0,75.383,67.831,81.344,4248.95
33000.0,75.373,68.131,81.011,4253.712
33060.0,75.323,68.058,81.09,4250.622
33120.0,75.381,68.139,81.423,4244.635
33180.0,75.383,67.862,80.717,4257.731
33240.0,75.402,67.844,80.785,4257.536
33300.0,75.399,67.979,80.739,4258.869
33360.0,75.389,67.934,81.413,4255.671
33420.0,75.334,67.959,80.809,4260.554
33480.0,75.347,67.902,80.971,4255.441
33540.0,75.401,67.781,80.642,4253.559
33600.0,75.372,68.001,81.501,4254.534
33660.0,75.332,68.067,80.667,4252.678
33720.0,75.336,67.828,80.495,4250.619
33780.0,75.38,67.789,81.094,4257.381
33840.0,75.37,67.84,80.738,4243.698
33900.0,75.392,68.042,80.955,4245.431
33960.0,75.365,68.12,81.515,4245.904
34020.0,75.342,68.136,81.157,4251.743
34080.0,75.367,67.9,81.051,4251.347
34140.0,75.373,67.855,80.825,4257.147
34200.0,75.333,67.898,81.366,4256.692
34260.0,75.341,67.862,80.573,4255.28
34320.0,75.374,68.077,80.688,4249.091
34380.0,75.354,67.938,80.487,4250.137
34440.0,75.351,68.003,80.665,4241.44
34500.0,75.398,67.986,80.888,4257.1
34560.0,75.341,68.161,80.974,4260.286
34620.0,75.346,68.039,81.282,4258.66
34680.0,75.367,67.869,81.118,4247.632
34740.0,75.349,68.151,81.523,4258.083
34800.0,75.371,67.971,81.097,4250.571
34860.0,75.337,67.987,81.393,4258.243
34920.0,75.353,68.198,80.848,4255.721
34980.0,75.352,68.113,80.641,4249.771
35040.0,75.338,68.063,81.208,4254.782
35100.0,75.376,67.849,81.513,4261.068
35160.0,75.377,67.897,81.144,4259.653
35220.0,75.352,68.098,81.117,4247.468
35280.0,75.393,67.909,81.402,4243.547
35340.0,75.35,68.023,80.615,4258.066
35400.0,75.346,68.056,81.514,4244.317
35460.0,75.387,68.033,80.91,4248.1
35520.0,75.347,67.94,80.807,4244.648
35580.0,75.343,67.995,80.981,4252.071
35640.0,75.35,67.952,81.32,4253.346
35700.0,75.361,68.048,81.221,4248.772
35760.0,75.357,67.824,80.643,4254.445
35820.0,75.368,68.011,80.868,4253.84
35880.0,75.369,68.11,81.074,4249.732
35940.0,75.365,67.807,80.864,4245.0
36000.0,75.346,67.785,81.375,4260.58
36060.0,75.34,67.994,81.118,4260.194
36120.0,75.372,68.045,81.306,4243.67
36180.0,75.337,68.13,81.209,4256.257
36240.0,75.394,67.765,81.505,4243.13
36300.0,75.346,68.091,81.347,4242.199
36360.0,75.372,67.808,80.721,4254.723
36420.0,75.398,67.959,80.68,4245.484
36480.0,75.392,68.1,81.27,4260.425
36540.0,75.336,68.14,80.894,4241.814
36600.0,75.351,67.784,81.379,4259.375
36660.0,75.382,67.775,80.762,4248.285
36720.0,75.355,68.151,81.386,4241.29
36780.0,75.393,67.81,80.572,4247.03
36840.0,75.359,68.058,80.512,4255.376
36900.0,75.377,67.85,80.819,4254.954
36960.0,75.361,68.041,81.35,4256.129
37020.0,75.346,67.91,81.124,4242.43
37080.0,75.336,68.077,81.016,4241.937
37140.0,75.343,67.929,80.634,4250.032
37200.0,75.369,68.123,80.824,4258.59
37260.0,75.385,67.977,81.24,4251.625
37320.0,75.395,68.173,81.385,4241.699
37380.0,75.38,67.839,81.178,4249.906
37440.0,75.396,68.11,80.874,4244.156
37500.0,75.38,67.974,80.59,4257.799
37560.0,75.341,67.823,81.28,4257.367
37620.0,75.355,68.107,81.205,4248.083
37680.0,75.383,68.153,81.242,4256.496
37740.0,75.381,68.159,80.983,4247.526
37800.0,75.346,67.861,81.067,4248.398
37860.0,75.397,68.088,80.586,4260.719
